id,name,artists,type
6DCZcSspjsKoFjzjrWoCd,God's Plan,Drake,Happy
3ee8Jmje8o58CHK66QrVC,SAD!,XXXTENTACION,Happy
0e7ipj03S05BNilyu5bRz,rockstar (feat. 21 Savage),Post Malone,Happy
3swc6WTsr7rl9DqQKQA55,Psycho (feat. Ty Dolla $ign),Post Malone,Happy
2G7V7zsVDxg1yRsu7Ew9R,In My Feelings,Drake,Happy
7dt6x5M1jzdTEt8oCbisT,Better Now,Post Malone,Happy
58q2HKrzhC3ozto2nDdN4,I Like It,Cardi B,Happy
7ef4DlsgrMEH11cDZd32M,One Kiss (with Dua Lipa),Calvin Harris,Happy
76cy1WJvNGJTj78UqeA5z,IDGAF,Dua Lipa,Happy
08bNPGLD8AhKpnnERrAc6,FRIENDS,Marshmello,Happy
1rfofaqEpACxVEHIZBJe6,Havana,Camila Cabello,Happy
0s3nnoMeVWz3989MkNQiR,Lucid Dreams,Juice WRLD,Angry
3CA9pLiwRIGtUBiMjbZmR,Nice For What,Drake,Angry
7fa9MBXhVfQ8P8Df9OEbD,Girls Like You (feat. Cardi B),Maroon 5,Angry
09IStsImFySgyp0pIQdqA,The Middle,Zedd,Angry
3GCdLUSnKSMJhs4Tj6CV3,All The Stars (with SZA),Kendrick Lamar,Angry
2qT1uLXPVPzGgFOx4jtEu,no tears left to cry,Ariana Grande,Angry
39N9RPD9MRb5WmoLzNzPe,X,Nicky Jam,Angry
0JP9xo3adEtGSdUEISisz,Moonlight,XXXTENTACION,Angry
4qKcDkK6siZ7Jp1Jb4m0a,Look Alive (feat. Drake),BlocBoy JB,Angry
5CLGzJsGqhCEECcpnFQA8,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,Angry
3V8UKqhEK5zBkBb6d6ub8,Te Bot? - Remix,Nio Garcia,Angry
7uzmGiiJyRfuViKKK3lVm,Mine,Bazzi,Sad
2iUXsYOEPhVqEBwsqP70r,Youngblood,5 Seconds of Summer,Sad
2xJCMIJfcNYDc5iR0sAm2,New Rules,Dua Lipa,Sad
7qiZfU4dY1lWllzX7mPBI,Shape of You,Ed Sheeran,Sad
45Egmo7icyopuzJN0oMEd,Love Lies (with Normani),Khalid,Sad
4e4fqjx0Izh4svvTef1z7,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,Sad
7m9OqQk4RVRkw9JJdeAw9,Jocelyn Flores,XXXTENTACION,Sad
